,Infection_rate,Sequential_test,Stop_rule,Repeat,Prob_threshold,Acc,Acc_SD,Sens,Sens_SD,Spec,Spec_SD,PPV,PPV_SD,NPV,NPV_SD,Test_consum,Test_consum_SD,Ind_consum,Ind_consum_SD,Batch_consum,Batch_consum_SD
0,0.001,True,3,3,0.3,0.9993601000000004,0.00011204702295703499,0.8887342414637232,0.02894268666351886,0.9994730575394627,0.00010101825722779337,0.6342028643367058,0.03459340457975499,0.9998863364284177,3.2504535560554325e-05,8289.55,312.185368884345,1906.42,225.49582539977825,6383.13,109.4940296329098
0,0.01,True,3,3,0.3,0.9959999000000002,0.00023337443360965426,0.8832167066966968,0.01043676894380426,0.9971319748596968,0.00020251024120238078,0.7557207192653884,0.011541659021758407,0.9988257597861961,0.00011189413322212639,31392.62,466.61938678243115,10502.35,357.79036735174543,20890.27,139.63262440411197
0,0.03,True,3,3,0.3,0.9895891,0.00036050776480520976,0.8840779744465854,0.006062251013646121,0.9928553916118357,0.00031356552915866456,0.7930462175579421,0.0063040850889548,0.9963985379476956,0.0001988269044851406,63634.02,626.7628388486478,26757.02,468.7419867059171,36877.0,179.3409934153146
0,0.05,True,3,3,0.3,0.9839973999999998,0.0003872816947792797,0.8903811369854081,0.004474740543060291,0.9889130826009908,0.0003381323688224843,0.8083453629872348,0.004386495631465515,0.994213093419504,0.0002408337219498596,85251.87,669.8132206862304,41010.9,560.0332511773229,44240.97,163.0802897627145
0,0.1,True,3,3,0.3,0.9710989999999993,0.0005981157281349616,0.8913732031492575,0.0033557142080029327,0.979945530562198,0.0005467461807187791,0.8314364854267113,0.0035631342087925223,0.987849196323607,0.0003988655294847747,129406.37,746.0109086726452,72060.54,665.0201397421181,57345.83,156.08532081441027
