,Infection_rate,Sequential_test,Stop_rule,Repeat,Prob_threshold,Acc,Acc_SD,Sens,Sens_SD,Spec,Spec_SD,PPV,PPV_SD,NPV,NPV_SD,Test_consum,Test_consum_SD,Ind_consum,Ind_consum_SD,Batch_consum,Batch_consum_SD
0,0.001,True,1,1,0.3,0.9995448,6.931818016227573e-05,0.726109874044419,0.041315338334070105,0.9998232203636607,4.691274417361479e-05,0.807392067344861,0.04487346961090126,0.9997211446818081,5.2001091840322686e-05,11840.5,133.36647315429826,1840.5,133.36647315429826,10000.0,0.0
0,0.01,True,1,1,0.3,0.9964318999999997,0.00019684734894805336,0.7212978866375843,0.016289923363206324,0.9991932790154537,9.07040349159156e-05,0.8998012307322786,0.010102228277837256,0.9972083697824544,0.0001776260433657059,18981.1,259.2954517787216,8981.1,259.29545177872154,10000.0,0.0
0,0.03,True,1,1,0.3,0.9896544,0.0003490776302188228,0.7240588121654455,0.009307858194016295,0.9978788737458976,0.0001503176320840248,0.9135884848591648,0.005680604553858881,0.9915096972057517,0.0003098311066956209,33107.5,438.3172021458543,23107.5,438.3172021458543,10000.0,0.0
0,0.05,True,1,1,0.3,0.9830826000000001,0.0004636408833212059,0.7218757330133606,0.00749167510994171,0.996817157164458,0.00018448806737239313,0.922653355508208,0.00394899062997933,0.9855413208754533,0.0004241759997274523,44693.3,500.37572751570275,34693.3,500.37572751570275,10000.0,0.0
0,0.1,True,1,1,0.3,0.9674907999999999,0.0006084085549176402,0.7220802754212712,0.005244839958602165,0.9947735343785398,0.00025453482226399826,0.9388782728071726,0.002826488934424316,0.9698763884431153,0.0005626587526915753,65671.4,519.1893837142821,55671.4,519.1893837142823,10000.0,0.0
