,Infection_rate,Sequential_test,Stop_rule,Repeat,Prob_threshold,Acc,Acc_SD,Sens,Sens_SD,Spec,Spec_SD,PPV,PPV_SD,NPV,NPV_SD,Test_consum,Test_consum_SD,Ind_consum,Ind_consum_SD,Batch_consum,Batch_consum_SD
0,0.001,True,1,1,0.3,0.9984690000000002,0.00015106022613246308,0.558155851294706,0.05038606396335152,0.9989179983051076,0.00012335409071237855,0.34439520570364573,0.03592774061825195,0.9995491560406102,7.349621166788683e-05,13719.0,185.71456321435588,3719.0,185.71456321435588,10000.0,0.0
0,0.01,True,1,1,0.3,0.9929113,0.0002718869900409681,0.5608884757620246,0.014629465223310016,0.9972468298537115,0.00018999329960708495,0.6717228946747593,0.015841225432055343,0.9956005853039147,0.00018367162768187904,19824.8,278.8920358790614,9824.8,278.8920358790614,10000.0,0.0
0,0.03,True,1,1,0.3,0.9809827999999999,0.000465815414085881,0.5630937506927708,0.009869768115585594,0.9939160144662972,0.0002564762905605428,0.7412665594233588,0.00792294853343115,0.986578018903525,0.0003778744306567794,31897.4,390.6627882732296,21897.4,390.6627882732296,10000.0,0.0
0,0.05,True,1,1,0.3,0.9696974,0.0005774475707540031,0.5621057834559992,0.007769165036739927,0.991123816520036,0.0003402979704656026,0.769036321889637,0.00669224869198715,0.9773015655576771,0.00047747308153366503,41845.3,476.18953657915955,31845.3,476.18953657915955,10000.0,0.0
0,0.1,True,1,1,0.3,0.9435469000000003,0.0008381758632755922,0.5632839646624654,0.005311101871391201,0.9858233026689501,0.0004224880288878511,0.815421678262462,0.004218549571691611,0.953060950497247,0.000803078298264316,59885.0,493.6618480316463,49885.0,493.6618480316463,10000.0,0.0
